trip_id,headway_secs
14447646-MAR19-MVS-BUS-Weekday-01,1080
14447648-MAR19-MVS-BUS-Weekday-01,1800
14447671-MAR19-MVS-BUS-Weekday-01,1350
14447675-MAR19-MVS-BUS-Weekday-01,1800
14448502-MAR19-MVS-BUS-Weekday-01,21600
14448509-MAR19-MVS-BUS-Weekday-01,600
14448529-MAR19-MVS-BUS-Weekday-01,10800
14448549-MAR19-MVS-BUS-Weekday-01,675
14448564-MAR19-MVS-BUS-Weekday-01,21600
14448576-MAR19-MVS-BUS-Weekday-01,900
14448596-MAR19-MVS-BUS-Weekday-01,3600
14448602-MAR19-MVS-BUS-Weekday-01,540
14448608-MAR19-MVS-BUS-Weekday-01,635
14448609-MAR19-MVS-BUS-Weekday-01,526
14448612-MAR19-MVS-BUS-Weekday-01,720
14448852-MAR19-MVS-BUS-Weekday-01,771
14448878-MAR19-MVS-BUS-Weekday-01,21600
14448885-MAR19-MVS-BUS-Weekday-01,1800
14448925-MAR19-MVS-BUS-Weekday-01,1542
14448942-MAR19-MVS-BUS-Weekday-01,1800
14448943-MAR19-MVS-BUS-Weekday-01,1800
14448945-MAR19-MVS-BUS-Weekday-01,1800
14448946-MAR19-MVS-BUS-Weekday-01,1800
14449001-MAR19-MVS-BUS-Weekday-01,1542
14449008-MAR19-MVS-BUS-Weekday-01,1800
14449035-MAR19-MVS-BUS-Weekday-01,1800
14449038-MAR19-MVS-BUS-Weekday-01,1800
14449132-MAR19-MVS-BUS-Weekday-01,1200
14449145-MAR19-MVS-BUS-Weekday-01,7200
14449146-MAR19-MVS-BUS-Weekday-01,7200
14449158-MAR19-MVS-BUS-Weekday-01,1800
14449162-MAR19-MVS-BUS-Weekday-01,1800
14449185-MAR19-MVS-BUS-Weekday-01,1800
14449191-MAR19-MVS-BUS-Weekday-01,1800
14449219-MAR19-MVS-BUS-Weekday-01,1800
14449220-MAR19-MVS-BUS-Weekday-01,1800
14449227-MAR19-MVS-BUS-Weekday-01,1800
14449255-MAR19-MVS-BUS-Weekday-01,1800
14449303-MAR19-MVS-BUS-Weekday-01,3600
14449353-MAR19-MVS-BUS-Weekday-01,900
14449372-MAR19-MVS-BUS-Weekday-01,900
14449393-MAR19-MVS-BUS-Weekday-01,900
14449403-MAR19-MVS-BUS-Weekday-01,939
14449504-MAR19-MVS-BUS-Weekday-01,2700
14449520-MAR19-MVS-BUS-Weekday-01,1542
14449542-MAR19-MVS-BUS-Weekday-01,1542
14449561-MAR19-MVS-BUS-Weekday-01,2700
14449591-MAR19-MVS-BUS-Weekday-01,1661
14449626-MAR19-MVS-BUS-Weekday-01,1661
14449627-MAR19-MVS-BUS-Weekday-01,1350
14449653-MAR19-MVS-BUS-Weekday-01,1200
14450423-MAR19-MVS-BUS-Weekday-01,939
14450424-MAR19-MVS-BUS-Weekday-01,900
14450436-MAR19-MVS-BUS-Weekday-01,1542
14450437-MAR19-MVS-BUS-Weekday-01,981
14450540-MAR19-MVS-BUS-Weekday-01,864
14450550-MAR19-MVS-BUS-Weekday-01,540
14450593-MAR19-MVS-BUS-Weekday-01,864
14450600-MAR19-MVS-BUS-Weekday-01,1080
14450770-MAR19-MVS-BUS-Weekday-01,1542
14450775-MAR19-MVS-BUS-Weekday-01,1661
14450800-MAR19-MVS-BUS-Weekday-01,1200
14450807-MAR19-MVS-BUS-Weekday-01,1661
14450843-MAR19-MVS-BUS-Weekday-01,3600
14450850-MAR19-MVS-BUS-Weekday-01,3600
14450862-MAR19-MVS-BUS-Weekday-01,5400
14450865-MAR19-MVS-BUS-Weekday-01,1800
14450874-MAR19-MVS-BUS-Weekday-01,4320
14450878-MAR19-MVS-BUS-Weekday-01,21600
14450885-MAR19-MVS-BUS-Weekday-01,1800
14450890-MAR19-MVS-BUS-Weekday-01,21600
14450898-MAR19-MVS-BUS-Weekday-01,10800
14450900-MAR19-MVS-BUS-Weekday-01,5400
14451077-MAR19-MVS-BUS-Weekday-01,635
14451097-MAR19-MVS-BUS-Weekday-01,864
14451101-MAR19-MVS-BUS-Weekday-01,900
14451129-MAR19-MVS-BUS-Weekday-01,675
14451308-MAR19-MVS-BUS-Weekday-01,450
14451323-MAR19-MVS-BUS-Weekday-01,583
14451382-MAR19-MVS-BUS-Weekday-01,617
14451452-MAR19-MVS-BUS-Weekday-01,432
14451973-MAR19-MVS-BUS-Weekday-01,3600
14451974-MAR19-MVS-BUS-Weekday-01,3600
14451975-MAR19-MVS-BUS-Weekday-01,3600
14451987-MAR19-MVS-BUS-Weekday-01,3600
14452002-MAR19-MVS-BUS-Weekday-01,2160
14452003-MAR19-MVS-BUS-Weekday-01,3600
14452018-MAR19-MVS-BUS-Weekday-01,1542
14452019-MAR19-MVS-BUS-Weekday-01,1542
14452047-MAR19-MVS-BUS-Weekday-01,10800
14452086-MAR19-MVS-BUS-Weekday-01,2160
14452092-MAR19-MVS-BUS-Weekday-01,10800
14452103-MAR19-MVS-BUS-Weekday-01,1800
14452109-MAR19-MVS-BUS-Weekday-01,2160
14452119-MAR19-MVS-BUS-Weekday-01,10800
14452122-MAR19-MVS-BUS-Weekday-01,1542
14452129-MAR19-MVS-BUS-Weekday-01,1661
14452155-MAR19-MVS-BUS-Weekday-01,1350
14452161-MAR19-MVS-BUS-Weekday-01,1800
14452192-MAR19-MVS-BUS-Weekday-01,1800
14452398-MAR19-MVS-BUS-Weekday-01,1800
14452410-MAR19-MVS-BUS-Weekday-01,3600
14452411-MAR19-MVS-BUS-Weekday-01,3600
14452413-MAR19-MVS-BUS-Weekday-01,3600
14452414-MAR19-MVS-BUS-Weekday-01,3600
14452438-MAR19-MVS-BUS-Weekday-01,2700
14452439-MAR19-MVS-BUS-Weekday-01,10800
14452448-MAR19-MVS-BUS-Weekday-01,5400
14452454-MAR19-MVS-BUS-Weekday-01,2160
14452455-MAR19-MVS-BUS-Weekday-01,5400
14452470-MAR19-MVS-BUS-Weekday-01,3600
14452496-MAR19-MVS-BUS-Weekday-01,2700
14452505-MAR19-MVS-BUS-Weekday-01,2700
14452518-MAR19-MVS-BUS-Weekday-01,1800
14452531-MAR19-MVS-BUS-Weekday-01,2700
14452545-MAR19-MVS-BUS-Weekday-01,900
14452632-MAR19-MVS-BUS-Weekday-01,1542
14452866-MAR19-MVS-BUS-Weekday-01,1542
14452872-MAR19-MVS-BUS-Weekday-01,3600
14452873-MAR19-MVS-BUS-Weekday-01,10800
14452876-MAR19-MVS-BUS-Weekday-01,7200
14452919-MAR19-MVS-BUS-Weekday-01,5400
14452921-MAR19-MVS-BUS-Weekday-01,21600
