"","a","b"
"1",1,54632
"2",2,29402
"3",2,54633
"4",3,29331
"5",3,29390
"6",3,29395
"7",4,29395
"8",4,29404
"9",4,29429
"10",5,29431
"11",5,29435
"12",6,29419
"13",7,54635
"14",8,34946
"15",9,34944
"16",9,34946
"17",10,34972
"18",10,34981
"19",11,34944
"20",11,34956
"21",11,34982
"22",12,25220
"23",12,34955
"24",13,34976
"25",13,34979
"26",13,34986
"27",14,34952
"28",14,34958
"29",14,34961
"30",15,29321
"31",15,29436
"32",15,34330
"33",16,29320
"34",16,34676
"35",17,34684
"36",17,34688
"37",17,34954
"38",18,34687
"39",18,34975
"40",19,34672
"41",20,25137
"42",20,34669
"43",21,29302
"44",21,29303
"45",22,29302
"46",23,40413
"47",24,29416
"48",24,29420
"49",25,29412
"50",25,29421
"51",26,28280
"52",26,29414
"53",27,40414
"54",28,29263
"55",29,28276
"56",30,28276
"57",30,28283
"58",30,29380
"59",31,29396
"60",31,29399
"61",32,29345
"62",32,29348
"63",32,50151
"64",33,28284
"65",33,28989
"66",34,28282
"67",34,29006
"68",34,29392
"69",35,28684
"70",35,29263
"71",35,29265
"72",36,28675
"73",36,28992
"74",36,28993
"75",37,28991
"76",37,54629
"77",37,54630
"78",38,40485
"79",39,28675
"80",39,28945
"81",40,40416
"82",41,40415
"83",42,28944
"84",42,28945
"85",43,28951
"86",44,28954
"87",45,28954
"88",45,28977
"89",46,28690
"90",46,28974
"91",47,29249
"92",48,29249
"93",49,40420
"94",50,29243
"95",50,29246
"96",51,40418
"97",51,40419
"98",52,40418
"99",53,29253
"100",54,29231
"101",54,29257
"102",55,29229
"103",56,29237
"104",57,29239
"105",57,29241
"106",58,40428
"107",59,28972
"108",60,28967
"109",60,40429
"110",61,28949
"111",62,28668
"112",62,40740
"113",62,55229
"114",63,28972
"115",64,29239
"116",64,40741
"117",65,4104
"118",65,40741
"119",66,40431
"120",67,19844
"121",68,50738
"122",69,4778
"123",69,4807
"124",70,29126
"125",71,28680
"126",72,29256
"127",73,28680
"128",74,29270
"129",75,40417
"130",76,40421
"131",77,29224
"132",78,29305
"133",79,29223
"134",79,29308
"135",80,29272
"136",80,29279
"137",81,40423
"138",82,29272
"139",82,40422
"140",83,29207
"141",83,29295
"142",83,29296
"143",84,25172
"144",85,25172
"145",86,25137
"146",86,29223
"147",87,40424
"148",88,40425
"149",89,40426
"150",90,40427
"151",91,40427
"152",92,34663
"153",92,34668
"154",93,34647
"155",93,40426
"156",94,34662
"157",94,34663
"158",95,34649
"159",95,40444
"160",96,34653
"161",97,40432
"162",98,5118
"163",98,40432
"164",99,5236
"165",99,29169
"166",100,29210
"167",101,29209
"168",101,34449
"169",101,34453
"170",102,34458
"171",102,34466
"172",103,34463
"173",104,25150
"174",105,25177
"175",105,34653
"176",106,40444
"177",107,34360
"178",107,34659
"179",108,34660
"180",108,40443
"181",109,40443
"182",110,34437
"183",110,34442
"184",111,34575
"185",111,34592
"186",112,34364
"187",112,34575
"188",112,34639
"189",113,34636
"190",113,34639
"191",113,34696
"192",114,34666
"193",114,34698
"194",115,34630
"195",115,34632
"196",116,34718
"197",117,34728
"198",118,34378
"199",118,34391
"200",119,34693
"201",119,34701
"202",120,34367
"203",121,34364
"204",121,34695
"205",122,34625
"206",123,34368
"207",124,34368
"208",124,34885
"209",125,34704
"210",126,34388
"211",126,34707
"212",126,34877
"213",127,34899
"214",128,34877
"215",128,34895
"216",129,34884
"217",129,34887
"218",130,34875
"219",131,34725
"220",132,40484
"221",133,34394
"222",134,34723
"223",135,34716
"224",136,34310
"225",136,54779
"226",137,34942
"227",137,34973
"228",137,35003
"229",138,34310
"230",138,34326
"231",138,34923
"232",139,34327
"233",139,34734
"234",140,35007
"235",140,35159
"236",141,34996
"237",141,35005
"238",141,54636
"239",142,34941
"240",142,34996
"241",143,40366
"242",144,34928
"243",144,35012
"244",145,35152
"245",145,35189
"246",146,34324
"247",146,35191
"248",147,35193
"249",147,40339
"250",148,35180
"251",148,35194
"252",149,35153
"253",149,35181
"254",150,40339
"255",151,34352
"256",151,34906
"257",152,34910
"258",153,34335
"259",153,34918
"260",153,35408
"261",154,35427
"262",155,35432
"263",156,35422
"264",156,35425
"265",157,35420
"266",158,40452
"267",159,34912
"268",160,34323
"269",161,35313
"270",162,35316
"271",163,35263
"272",164,10013
"273",164,40455
"274",165,40454
"275",165,54577
"276",166,34799
"277",166,40454
"278",167,40453
"279",168,34745
"280",169,34850
"281",170,9007
"282",171,34755
"283",172,34763
"284",173,34762
"285",174,8628
"286",174,34762
"287",175,8628
"288",175,8759
"289",176,8759
"290",176,34755
"291",177,8897
"292",177,9038
"293",178,9038
"294",178,34745
"295",179,34796
"296",180,9511
"297",181,34860
"298",181,34862
"299",181,54218
"300",182,34793
"301",182,34860
"302",183,40451
"303",184,34770
"304",184,34772
"305",185,34624
"306",185,40450
"307",186,34577
"308",186,34624
"309",187,34577
"310",187,34579
"311",188,18908
"312",188,34581
"313",189,40445
"314",190,34566
